Street,Name,Address,Rating,Place ID,Latitude,Longitude
liberty ave,Main St + Penn NS,United States,3,ChIJmxgDzUjyNIgRgts9aJcIjGo,40.46545,-79.95482899999999
liberty ave,Kolls Jay K,"3520 Penn Avenue, Pittsburgh",N/A,ChIJB4nS8UXyNIgRw-NKRky1NbU,40.4660312,-79.9535037
liberty ave,Mahmood Burhanuddin MD,"4401 Penn Avenue, Pittsburgh",N/A,ChIJ6XMqTE_yNIgRgt-gKzA1TtM,40.4661227,-79.9533866
liberty ave,Saladino Richard A MD,"4401 Penn Avenue, Pittsburgh",N/A,ChIJ6XMqTE_yNIgRDIFJx2D5Dag,40.4661227,-79.9533866
liberty ave,Hearing Center,"4401 Penn Avenue, Pittsburgh",N/A,ChIJ6XMqTE_yNIgRniJy3FvIq8k,40.46624379999999,-79.9532741
liberty ave,Goyal Rakesh K MD,"4401 Penn Avenue, Pittsburgh",N/A,ChIJB4nS8UXyNIgRD7lirdi4JmU,40.466019,-79.953125
liberty ave,"Dr. Lakshmanan Krishnamurti, MD","4401 Penn Avenue, Pittsburgh",N/A,ChIJB4nS8UXyNIgRlG2c7FvpN34,40.466019,-79.953125
liberty ave,"Feras Alissa, MD","4401 Penn Avenue, Pittsburgh",3,ChIJaSLTT0_yNIgRJAFjh-jBSY4,40.4660999,-79.95351959999999
liberty ave,Children's Hospital of Pittsburgh of UPMC -Mc Lendon Patricia Dr,"4401 Penn Avenue, Pittsburgh",N/A,ChIJ6XMqTE_yNIgRz-z6klN0ifc,40.4660999,-79.95351959999999
liberty ave,Keljo David J MD,"4401 Penn Avenue, Pittsburgh",N/A,ChIJ6XMqTE_yNIgRy6OxlmLAmkQ,40.4660999,-79.95351959999999
liberty ave,"Christopher Follansbee, MD","4401 Penn Avenue, Pittsburgh",N/A,ChIJaSLTT0_yNIgReogFF6asRLk,40.466019,-79.953125
liberty ave,Janowski Andrew B MD,"4401 Penn Avenue, Pittsburgh",N/A,ChIJ6XMqTE_yNIgRJ1G6KgkivUI,40.466019,-79.953125
liberty ave,"Traci M Kazmerski, MD","4401 Penn Avenue, Pittsburgh",N/A,ChIJ6XMqTE_yNIgR4iSPhTiuCS4,40.466019,-79.953125
liberty ave,"Dr. Christopher R. Deskins, MD","4401 Penn Avenue, Pittsburgh",N/A,ChIJ6XMqTE_yNIgRWY-vuzsrzCc,40.466019,-79.953125
liberty ave,Down Syndrome Center of Western PA,"4401 Penn Avenue Ste 3000, Pittsburgh",4,ChIJGdoNjinyNIgRvWN_rjT-4Ic,40.4660999,-79.95351959999999
liberty ave,Cohen Debra E MD,"4401 Penn Avenue, Pittsburgh",N/A,ChIJB4nS8UXyNIgRYfgp-XKpLPI,40.4661227,-79.9533866
liberty ave,"Dr. Kristin M. Farrell, MD","4401 Penn Avenue, Pittsburgh",N/A,ChIJ6XMqTE_yNIgRKtPGY4vZ7tY,40.4661227,-79.9533866
liberty ave,"Dr. Rhett H. Lieberman, MD","4401 Penn Avenue, Pittsburgh",N/A,ChIJG5CRGyryNIgRND1Xu4_04A8,40.4661227,-79.9533866
liberty ave,"Benjamin Miller, MD","4401 Penn Avenue, Pittsburgh",N/A,ChIJ6XMqTE_yNIgRoGBZ-E4-ifE,40.4661227,-79.9533866
liberty ave,"Jean M. Tersak, MD","4401 Penn Avenue, Pittsburgh",5,ChIJB4nS8UXyNIgRYYl5MdKYCEE,40.4661227,-79.9533866
liberty ave,Madan-Khetarpal Suneeta MD,"4401 Penn Avenue, Pittsburgh",3,ChIJ6XMqTE_yNIgRKHcOB_Di6Uo,40.4661227,-79.9533866
liberty ave,"Stephen A. Mendelson, MD","4401 Penn Avenue, Pittsburgh",4,ChIJ6XMqTE_yNIgRfVwzSLYqGyY,40.4661227,-79.9533866
liberty ave,Adams Richard J MD,"4401 Penn Avenue, Pittsburgh",N/A,ChIJB4nS8UXyNIgRFEkAPdjObSk,40.4661227,-79.9533866
liberty ave,"Dr. Victoria S. Winkeller, MD","4401 Penn Avenue, Pittsburgh",5,ChIJ6XMqTE_yNIgRoLVFkiqBS3o,40.4661227,-79.9533866
liberty ave,"Dr. David N. Finegold, MD","4401 Penn Avenue, Pittsburgh",5,ChIJ6XMqTE_yNIgR14rLjgvnwdk,40.4661227,-79.9533866
liberty ave,"Dr. Gerard Vockley, MD","4401 Penn Avenue, Pittsburgh",5,ChIJ6XMqTE_yNIgRddI4EcJ8C_k,40.4661227,-79.9533866
liberty ave,"Dr. Peter H. Shaw, MD","4401 Penn Avenue, Pittsburgh",N/A,ChIJB4nS8UXyNIgRACa9W7gg8C4,40.4661227,-79.9533866
liberty ave,Lowe Mark E MD,"4401 Penn Avenue, Pittsburgh",N/A,ChIJ6XMqTE_yNIgR9buGk1QZOFg,40.4661227,-79.9533866
liberty ave,Pediatric Primary Care Center: Artman Jamie,"4401 Penn Avenue # 5643, Pittsburgh",N/A,ChIJ6XMqTE_yNIgR5yYKb2DcB2k,40.4660999,-79.95351959999999
liberty ave,"Dr. Erin M. Kaiser, MD","4401 Penn Avenue, Pittsburgh",N/A,ChIJ6XMqTE_yNIgRg_TjCGUNP0I,40.4660999,-79.95351959999999
liberty ave,"Dr. Karena G. Lawrence, MD","4401 Penn Avenue, Pittsburgh",N/A,ChIJaSLTT0_yNIgRpm3X6Q2Rv5s,40.4660999,-79.95351959999999
liberty ave,"Dr. Katrina Kerns, MD","4401 Penn Avenue, Pittsburgh",N/A,ChIJ6XMqTE_yNIgRaRa8XBFRZhw,40.4660999,-79.95351959999999
liberty ave,"Dr. Lance M. Brunton, MD","4401 Penn Avenue, Pittsburgh",N/A,ChIJ6XMqTE_yNIgRHMc1wSkmmbE,40.4660999,-79.95351959999999
liberty ave,"Dr. Nahmah A. Kim-Campbell, MD","4401 Penn Avenue, Pittsburgh",N/A,ChIJIRzYXk_yNIgRNwlA9Fcobpg,40.4660999,-79.95351959999999
liberty ave,"Veena Venkat, MD","4401 Penn Avenue, Pittsburgh",N/A,ChIJ6XMqTE_yNIgRpriwJwYF7oc,40.4661227,-79.9533866
liberty ave,"Dr. Cheyenne M. Beach, MD","4401 Penn Avenue, Pittsburgh",N/A,ChIJ6XMqTE_yNIgR2yENnIsU0Mw,40.4661227,-79.9533866
liberty ave,"Dr. Yatin M. Vyas, MD","4401 Penn Avenue, Pittsburgh",N/A,ChIJuUnP8UXyNIgRqxhrLGi6S9I,40.4661227,-79.9533866
liberty ave,"Dr. Regina I. Jakacki, MD","4401 Penn Avenue, Pittsburgh",N/A,ChIJB4nS8UXyNIgRcDTinwK5fLc,40.4661227,-79.9533866
liberty ave,"Dr. Sara B. Silvestri, MD","4401 Penn Avenue, Pittsburgh",5,ChIJ6XMqTE_yNIgR7eG6RwtS_vk,40.4661227,-79.9533866
liberty ave,Schultz Brian R MD,"4401 Penn Avenue, Pittsburgh",N/A,ChIJB4nS8UXyNIgRXlwcOylF1QY,40.4661227,-79.9533866
liberty ave,"Dr. Anubha Mittal, MD","4401 Penn Avenue, Pittsburgh",N/A,ChIJea3kNU_yNIgRJKUlAttAD-4,40.4661227,-79.9533866
liberty ave,"Dr. Sonia Singh, MD","4401 Penn Avenue, Pittsburgh",N/A,ChIJ6XMqTE_yNIgR_svemNQEY0o,40.4661227,-79.9533866
liberty ave,Gorham Laura M MD,"4401 Penn Avenue, Pittsburgh",N/A,ChIJ6XMqTE_yNIgRnCzrstoUSBs,40.4661227,-79.9533866
liberty ave,"Dr. Victor L. Scott, MD","4401 Penn Avenue, Pittsburgh",N/A,ChIJ6XMqTE_yNIgRuQcJARlPlKk,40.4661227,-79.9533866
liberty ave,"Dr. Sara Swanson, MD","4401 Penn Avenue, Pittsburgh",N/A,ChIJ6XMqTE_yNIgR9ivKJt_vOZQ,40.4661227,-79.9533866
liberty ave,"Dr. Katie E. Rau, MD","4401 Penn Avenue, Pittsburgh",N/A,ChIJ6XMqTE_yNIgRYEa6tY1f8JQ,40.4661227,-79.9533866
